record_id,sensor_id,device_id,sensor_type_code,sensor_type_name,location,timestamp,anomaly_name,anomaly_value,measurement_unit,baseline_value,normal_range_min,normal_range_max,severity_level,cause_of_anomaly,resolution_steps_taken,estimated_downtime_minutes,last_occurrence_date,recurrence_count,prevention_recommendation,operator_id,ticket_status,maintenance_required,notes
REC-0001,SMOKE-5012,DEV-39256,SMOKE,Smoke / Fire Sensor,Boiler Room East,2024-07-12 02:00:00,Smoke Concentration Spike,110.7,PPM,1.02,0,10,CRITICAL,"Electrical short circuit, overheated machinery, or combustible material ignition near the sensor zone.",1. Trigger fire alarm and evacuate the zone immediately. 2. Contact emergency response team. 3. Use appropriate fire suppression (CO2 or foam extinguisher). 4. Isolate electrical supply to the affected zone. 5. Investigate ignition source after area is safe. 6. Document incident and file safety report.,231,2023-09-04,1,Ensure fire suppression systems are tested quarterly. Eliminate combustible materials near electrical panels. Install heat + smoke dual-sensor units.,OP-130,RESOLVED,No,Sensor reading exceeded threshold. Auto-alert triggered at 02:00. Zone supervisor notified.
REC-0002,HUMIDITY-4257,DEV-95181,HUMIDITY,Humidity Sensor,Underground Pipeline Monitor,2024-04-04 18:00:00,Excess Humidity Alert,94.82,%RH,44.68,30,65,MEDIUM,"Water leakage, condensation buildup, or dehumidifier failure causing moisture saturation in the environment.",1. Identify and stop water ingress source. 2. Deploy portable dehumidifiers to the area. 3. Inspect HVAC drainage lines for blockages. 4. Check roof/wall seals for moisture intrusion. 5. Dry and assess any equipment exposed to excess moisture. 6. Monitor humidity hourly until normalised.,56,2023-11-04,1,Calibrate dehumidifiers monthly. Inspect drainage systems before monsoon season. Install waterproof enclosures for sensitive electronics.,OP-877,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 18:00. Zone supervisor notified.
REC-0003,VIBRATION-4527,DEV-54118,VIBRATION,Vibration Sensor,Warehouse Section D,2024-01-03 11:00:00,Abnormal Vibration Detected,26.13,mm/s,1.9,0,5,HIGH,"Unbalanced rotating machinery, loose mounting bolts, worn bearings, or mechanical resonance in the equipment frame.",1. Reduce machine speed or shut down if vibration is severe. 2. Inspect all mounting bolts and tighten to spec torque. 3. Check bearing condition using a stethoscope or vibration analyser. 4. Perform dynamic balancing if imbalance is confirmed. 5. Re-run and monitor vibration signature post-repair.,150,2023-02-18,1,Perform predictive maintenance vibration analysis monthly. Replace bearings on a time-based schedule. Use vibration-dampening mounts for rotating equipment.,OP-847,IN_PROGRESS,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 11:00. Zone supervisor notified.
REC-0004,CURRENT-5803,DEV-92397,CURRENT,Electrical Current Sensor,Underground Pipeline Monitor,2024-08-14 06:00:00,Overcurrent Fault,158.04,Amps,43.78,5,50,HIGH,"Short circuit, motor overload, or insulation breakdown causing abnormally high current draw.",1. Trip the circuit breaker immediately. 2. Isolate the affected device. 3. Inspect wiring insulation for damage or burns. 4. Check motor windings for shorts using a megger tester. 5. Replace damaged components. 6. Reset breaker only after full inspection.,38,2024-06-30,11,Install appropriately rated circuit breakers. Monitor load profiles and flag deviations early. Schedule annual electrical safety audits.,OP-333,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 06:00. Zone supervisor notified.
REC-0005,HUMIDITY-5554,DEV-69429,HUMIDITY,Humidity Sensor,Assembly Line 4,2024-01-15 11:00:00,Excess Humidity Alert,93.9,%RH,42.77,30,65,MEDIUM,"Water leakage, condensation buildup, or dehumidifier failure causing moisture saturation in the environment.",1. Identify and stop water ingress source. 2. Deploy portable dehumidifiers to the area. 3. Inspect HVAC drainage lines for blockages. 4. Check roof/wall seals for moisture intrusion. 5. Dry and assess any equipment exposed to excess moisture. 6. Monitor humidity hourly until normalised.,47,2023-09-20,5,Calibrate dehumidifiers monthly. Inspect drainage systems before monsoon season. Install waterproof enclosures for sensitive electronics.,OP-818,RESOLVED,No,Sensor reading exceeded threshold. Auto-alert triggered at 11:00. Zone supervisor notified.
REC-0006,HUMIDITY-7216,DEV-45382,HUMIDITY,Humidity Sensor,Outdoor Perimeter South,2024-07-24 07:00:00,Excess Humidity Alert,98.85,%RH,52.4,30,65,MEDIUM,"Water leakage, condensation buildup, or dehumidifier failure causing moisture saturation in the environment.",1. Identify and stop water ingress source. 2. Deploy portable dehumidifiers to the area. 3. Inspect HVAC drainage lines for blockages. 4. Check roof/wall seals for moisture intrusion. 5. Dry and assess any equipment exposed to excess moisture. 6. Monitor humidity hourly until normalised.,25,2023-07-30,1,Calibrate dehumidifiers monthly. Inspect drainage systems before monsoon season. Install waterproof enclosures for sensitive electronics.,OP-334,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 07:00. Zone supervisor notified.
REC-0007,CURRENT-4456,DEV-84341,CURRENT,Electrical Current Sensor,Plant Floor B - Zone 1,2024-11-02 15:00:00,Overcurrent Fault,186.4,Amps,19.16,5,50,HIGH,"Short circuit, motor overload, or insulation breakdown causing abnormally high current draw.",1. Trip the circuit breaker immediately. 2. Isolate the affected device. 3. Inspect wiring insulation for damage or burns. 4. Check motor windings for shorts using a megger tester. 5. Replace damaged components. 6. Reset breaker only after full inspection.,467,2024-04-04,11,Install appropriately rated circuit breakers. Monitor load profiles and flag deviations early. Schedule annual electrical safety audits.,OP-569,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 15:00. Zone supervisor notified.
REC-0008,PRESSURE-9830,DEV-44438,PRESSURE,Pressure Sensor,Underground Pipeline Monitor,2024-08-20 12:00:00,Overpressure Event,247.11,PSI,55.71,30,90,CRITICAL,"Blocked pressure relief valve, downstream pipe blockage, or pump runaway condition leading to pressure buildup.",1. Activate emergency pressure relief manually. 2. Shut down the upstream pump/compressor immediately. 3. Inspect relief valve for clogging and clean or replace. 4. Check for blockages in downstream piping. 5. Gradually restart system and verify pressure normalizes. 6. Log event in maintenance system.,127,2024-02-07,3,Test pressure relief valves monthly. Install redundant pressure cutoff switches. Monitor pump RPM alongside pressure readings.,OP-621,IN_PROGRESS,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 12:00. Zone supervisor notified.
REC-0009,TEMP-3621,DEV-99192,TEMP,Temperature Sensor,Warehouse Section D,2024-01-26 19:00:00,Critical Overheating,86.89,°C,19.08,18,35,HIGH,Cooling system failure or blocked ventilation ducts causing rapid heat buildup.,1. Immediately shut down the affected equipment. 2. Inspect and clean ventilation ducts for blockages. 3. Check coolant levels and refill if low. 4. Inspect cooling fans for mechanical failure. 5. Replace faulty thermostat if required. 6. Gradually restart and monitor for 30 minutes.,285,2023-05-22,5,"Schedule monthly cooling system inspections, install automated ventilation alerts, maintain a minimum 1m clearance around heat-generating equipment.",OP-666,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 19:00. Zone supervisor notified.
REC-0010,GAS-5808,DEV-66985,GAS,Gas Leak Sensor,Warehouse Section C,2023-09-27 16:00:00,Hazardous Gas Leak,121.17,PPM,0.02,0,5,CRITICAL,"Corroded gas pipeline, faulty valve seal, or accidental damage to gas lines causing toxic/flammable gas release.",1. Evacuate all personnel from the zone immediately. 2. Shut off main gas supply valve. 3. Ventilate the area using exhaust fans. 4. Do NOT operate electrical switches until area is cleared. 5. Call gas safety emergency team. 6. Locate and repair source before resuming operations.,274,2023-06-18,2,Inspect gas lines and joints every 3 months. Train all operators in gas emergency procedures. Install automated gas shutoff valves on anomaly triggers.,OP-991,RESOLVED,No,Sensor reading exceeded threshold. Auto-alert triggered at 16:00. Zone supervisor notified.
REC-0011,PRESSURE-9837,DEV-79514,PRESSURE,Pressure Sensor,Server Room 1,2024-05-15 00:00:00,Pressure Drop / Leak Detected,13.94,PSI,65.94,30,90,LOW,"Pipe joint failure, cracked seal, or valve leak causing significant pressure loss in the system.",1. Isolate the affected pipeline segment. 2. Use leak detection spray to find the exact failure point. 3. Replace cracked seals or joints. 4. Pressure test the repaired section before bringing back online. 5. Document leak location in asset registry.,28,2024-03-09,5,Implement routine pressure integrity tests every 6 months. Replace rubber seals on a scheduled basis. Use corrosion-resistant materials in high-moisture zones.,OP-345,RESOLVED,No,Sensor reading exceeded threshold. Auto-alert triggered at 00:00. Zone supervisor notified.
REC-0012,SMOKE-2133,DEV-79822,SMOKE,Smoke / Fire Sensor,Generator Bay,2024-05-01 17:00:00,Smoke Concentration Spike,248.48,PPM,1.28,0,10,CRITICAL,"Electrical short circuit, overheated machinery, or combustible material ignition near the sensor zone.",1. Trigger fire alarm and evacuate the zone immediately. 2. Contact emergency response team. 3. Use appropriate fire suppression (CO2 or foam extinguisher). 4. Isolate electrical supply to the affected zone. 5. Investigate ignition source after area is safe. 6. Document incident and file safety report.,150,2024-01-28,9,Ensure fire suppression systems are tested quarterly. Eliminate combustible materials near electrical panels. Install heat + smoke dual-sensor units.,OP-993,ESCALATED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 17:00. Zone supervisor notified.
REC-0013,HUMIDITY-7537,DEV-98039,HUMIDITY,Humidity Sensor,Boiler Room West,2024-06-13 14:00:00,Excess Humidity Alert,94.1,%RH,45.33,30,65,MEDIUM,"Water leakage, condensation buildup, or dehumidifier failure causing moisture saturation in the environment.",1. Identify and stop water ingress source. 2. Deploy portable dehumidifiers to the area. 3. Inspect HVAC drainage lines for blockages. 4. Check roof/wall seals for moisture intrusion. 5. Dry and assess any equipment exposed to excess moisture. 6. Monitor humidity hourly until normalised.,20,2024-04-03,4,Calibrate dehumidifiers monthly. Inspect drainage systems before monsoon season. Install waterproof enclosures for sensitive electronics.,OP-165,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 14:00. Zone supervisor notified.
REC-0014,HUMIDITY-2163,DEV-92719,HUMIDITY,Humidity Sensor,Plant Floor A - Zone 1,2023-02-02 10:00:00,Excess Humidity Alert,85.82,%RH,32.36,30,65,MEDIUM,"Water leakage, condensation buildup, or dehumidifier failure causing moisture saturation in the environment.",1. Identify and stop water ingress source. 2. Deploy portable dehumidifiers to the area. 3. Inspect HVAC drainage lines for blockages. 4. Check roof/wall seals for moisture intrusion. 5. Dry and assess any equipment exposed to excess moisture. 6. Monitor humidity hourly until normalised.,37,2022-12-18,4,Calibrate dehumidifiers monthly. Inspect drainage systems before monsoon season. Install waterproof enclosures for sensitive electronics.,OP-385,IN_PROGRESS,No,Sensor reading exceeded threshold. Auto-alert triggered at 10:00. Zone supervisor notified.
REC-0015,PRESSURE-8749,DEV-63354,PRESSURE,Pressure Sensor,Chemical Storage Unit 3,2024-03-17 11:00:00,Pressure Drop / Leak Detected,4.48,PSI,35.82,30,90,LOW,"Pipe joint failure, cracked seal, or valve leak causing significant pressure loss in the system.",1. Isolate the affected pipeline segment. 2. Use leak detection spray to find the exact failure point. 3. Replace cracked seals or joints. 4. Pressure test the repaired section before bringing back online. 5. Document leak location in asset registry.,31,2023-08-04,8,Implement routine pressure integrity tests every 6 months. Replace rubber seals on a scheduled basis. Use corrosion-resistant materials in high-moisture zones.,OP-984,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 11:00. Zone supervisor notified.
REC-0016,TEMP-2790,DEV-42591,TEMP,Temperature Sensor,Cold Storage Unit 1,2023-05-24 13:00:00,Sudden Temperature Drop,-7.13,°C,27.12,18,35,LOW,"HVAC malfunction causing unexpected overcooling, or a refrigerant leak in the nearby cooling circuit.",1. Verify HVAC thermostat settings. 2. Inspect refrigerant lines for leaks. 3. Check if heating elements are operational. 4. Reset HVAC controller. 5. Contact HVAC technician if issue persists.,22,2023-02-10,8,Set dual-threshold alerts for both high and low temperature. Perform quarterly HVAC servicing. Install redundant temperature probes.,OP-355,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 13:00. Zone supervisor notified.
REC-0017,SMOKE-1241,DEV-22224,SMOKE,Smoke / Fire Sensor,Underground Pipeline Monitor,2023-06-20 13:00:00,Smoke Concentration Spike,283.8,PPM,8.49,0,10,CRITICAL,"Electrical short circuit, overheated machinery, or combustible material ignition near the sensor zone.",1. Trigger fire alarm and evacuate the zone immediately. 2. Contact emergency response team. 3. Use appropriate fire suppression (CO2 or foam extinguisher). 4. Isolate electrical supply to the affected zone. 5. Investigate ignition source after area is safe. 6. Document incident and file safety report.,261,2022-10-05,4,Ensure fire suppression systems are tested quarterly. Eliminate combustible materials near electrical panels. Install heat + smoke dual-sensor units.,OP-985,IN_PROGRESS,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 13:00. Zone supervisor notified.
REC-0018,PRESSURE-7396,DEV-44760,PRESSURE,Pressure Sensor,Plant Floor A - Zone 1,2023-10-20 13:00:00,Pressure Drop / Leak Detected,14.04,PSI,77.11,30,90,LOW,"Pipe joint failure, cracked seal, or valve leak causing significant pressure loss in the system.",1. Isolate the affected pipeline segment. 2. Use leak detection spray to find the exact failure point. 3. Replace cracked seals or joints. 4. Pressure test the repaired section before bringing back online. 5. Document leak location in asset registry.,47,2022-12-30,12,Implement routine pressure integrity tests every 6 months. Replace rubber seals on a scheduled basis. Use corrosion-resistant materials in high-moisture zones.,OP-598,RESOLVED,No,Sensor reading exceeded threshold. Auto-alert triggered at 13:00. Zone supervisor notified.
REC-0019,GAS-9883,DEV-17989,GAS,Gas Leak Sensor,Plant Floor A - Zone 2,2024-08-21 15:00:00,Hazardous Gas Leak,386.59,PPM,0.29,0,5,CRITICAL,"Corroded gas pipeline, faulty valve seal, or accidental damage to gas lines causing toxic/flammable gas release.",1. Evacuate all personnel from the zone immediately. 2. Shut off main gas supply valve. 3. Ventilate the area using exhaust fans. 4. Do NOT operate electrical switches until area is cleared. 5. Call gas safety emergency team. 6. Locate and repair source before resuming operations.,451,2023-11-28,9,Inspect gas lines and joints every 3 months. Train all operators in gas emergency procedures. Install automated gas shutoff valves on anomaly triggers.,OP-261,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 15:00. Zone supervisor notified.
REC-0020,PRESSURE-2113,DEV-98501,PRESSURE,Pressure Sensor,Electrical Substation 2,2024-08-06 07:00:00,Overpressure Event,262.04,PSI,54.23,30,90,CRITICAL,"Blocked pressure relief valve, downstream pipe blockage, or pump runaway condition leading to pressure buildup.",1. Activate emergency pressure relief manually. 2. Shut down the upstream pump/compressor immediately. 3. Inspect relief valve for clogging and clean or replace. 4. Check for blockages in downstream piping. 5. Gradually restart system and verify pressure normalizes. 6. Log event in maintenance system.,319,2023-10-05,1,Test pressure relief valves monthly. Install redundant pressure cutoff switches. Monitor pump RPM alongside pressure readings.,OP-734,RESOLVED,Yes,Sensor reading exceeded threshold. Auto-alert triggered at 07:00. Zone supervisor notified.
